# max 5° each side, ~500km (1000km diameter)
buoyID Lon Lat AnH
41047 -71.466 27.463 3.7
41048 -69.573 31.831 3.7
41049 -62.938 27.490 3.7
46002 -130.502 42.658 3.8
46005 -131.090 46.143 3.8
46006 -137.379 40.766 4.1
46059 -129.951 38.094 3.7
46066 -155.009 52.765 3.8
# max 2° each side, ~200km (400km diameter)
# 46005 -131.079 46.134 4.1
# 41040 -53.341 14.542 3.8
# 41044 -58.630 21.582 3.8
# 41046 -68.384 23.822 3.7
# 41001 -72.660 34.680 3.8
# 41002 -75.360 32.320 4.1
# 44011 -66.562 41.093 4.1
# 42001 -89.657 25.942 4.1
# 42002 -94.420 25.170 4.1
# 42003 -85.940 26.070 3.2
# 42055 -93.941 22.124 4.1
# 46085 -142.882 55.883 3.8
# 46001 -147.949 56.232 3.8
# 51000 -153.792 23.528 4.1
# Hurricanes Atlantic
# 2021 Sam, Ida
# 2022 Fiona
# 2023 Franklin
# Hurricanes Pacific
# 2021 Felicia
# 2022 Darby
# 2023 Dora, Fernanda,
