ID Lat Lon
41001 34.680 -72.660
41002 32.320 -75.360
41040 14.542 -53.341
41044 21.582 -58.630
41046 23.822 -68.384
41047 27.463 -71.466
41048 31.831 -69.573
41049 27.490 -62.938
42001 25.942 -89.657
42002 25.170 -94.420
42003 26.070 -85.940
42055 22.124 -93.941
44011 41.093 -66.562
SCaribbean 13.805 -74.084
NCaribbean 17.974 -82.031
LabradorSea 59.0 -54.459
SGreenland 57.311 -43.527
WGreenland 61.766 -35.342
SWCanada 42.688 -56.934
WCanada 49.000 -46.0
NIreland 64.961 -6.872
SIceland 58.280 -17.0
SIceland 58.280 -17.0
BBiscay 47.090 -9.551
AltCN 53.00 -30.0
AltEurope 50.0 -18.0
IberPen 40.212 -12.971
AzoresN 42.212 -28.206
AzoresS 35.427 -30.558
WAfrica 25.000 -23.224
MAtlanticW 36.000 -63.000
MAtlanticC 41.000 -41.000
MAtlanticE 34.000 -48.000
TropAtlC 25.000 -45.000
TropAtlS 17.000 -35.000
