ID Lat Lon
46002 42.662 -130.507
46005 46.143 -131.090
46006 40.764 -137.377
46059 38.069 -129.976
46066 52.765 -155.009
46085 55.878 -142.876
46001 56.296 -148.027
51000 23.528 -153.792
NP_CenterNorth 49.75 -165.00
NP_BeringSea 55.25 -175.00
NP_CenterC 41.00 -153.00
NP_CenterW 43.00 160.00
NP_CenterE 30.00 -138.00
NP_CenterE2 37.00 -177.00
NP_Japan 32.00  147.00
NP_HawaiiNorth 26.00 -156.25
NP_HawaiiSouth 15.50 -156.25
NP_TropEast 20.00 -118.00
NP_TropEastS 13.00 -97.00
NP_TropWest 20.00 166.00
SP_TropEast -18.50 -87.25
SP_FrPol -17.00 -132.00
SP_ASamoa -11.75 -169.50
SP_Cook -23.50 -160.00
SP_Center -39.50 -127.00
SP_Chile -37.00 -85.00
SP_NZelandEast -45.00 -170.00
SP_SouthC -58.00 -137.00
SP_SouthW -60.00 -174.25
SP_SouthE -60.00 -98.75
